"","patents","region","age","iscustomer"
"766",2,"Southwest",35.5,0
"25",4,"Midwest",29.5,0
"1065",2,"Northeast",23.5,0
"1067",7,"Northeast",20,0
"28",4,"Midwest",26.5,0
"772",5,"Southwest",31,0
"1380",5,"Northeast",23,0
"589",5,"South",24.5,0
"650",4,"Southwest",36,0
"1316",4,"Northeast",26.5,0
"1496",8,"Northeast",21,0
"35",4,"Midwest",24,0
"1035",8,"Northeast",34,1
"37",5,"Midwest",16,0
"781",2,"Southwest",22,0
"1322",5,"Northeast",25.5,1
"1202",1,"Northeast",32.5,0
"1080",6,"Northeast",22,0
"600",3,"South",39.5,0
"704",4,"Southwest",19.5,0
"272",4,"Northwest",15,0
"666",1,"Southwest",42,0
"1329",9,"Northeast",18,0
"1087",5,"Northeast",38,0
"275",1,"Northwest",29,0
"231",4,"Northwest",22.5,1
"1454",4,"Northeast",36,1
"1212",6,"Northeast",26.5,0
"501",3,"South",28,0
"53",6,"Midwest",24,0
"973",2,"Northeast",42.5,0
"855",6,"Southwest",17.5,0
"245",2,"Northwest",11.5,1
"246",4,"Northwest",16.5,0
"58",1,"Midwest",34.5,0
"426",6,"South",25.5,0
"287",4,"Northwest",15,0
"61",4,"Midwest",16,1
"896",2,"Southwest",30.5,0
"63",2,"Midwest",21.5,0
"1347",3,"Northeast",19.5,0
"806",2,"Southwest",32,0
"985",8,"Northeast",30.5,0
"660",6,"Southwest",29,1
"987",4,"Northeast",38.5,0
"811",3,"Southwest",37.5,0
"465",2,"South",15.5,0
"915",4,"Northeast",23,1
"774",5,"Southwest",21.5,0
"414",7,"South",19,1
"74",2,"Midwest",21.5,0
"276",4,"Northwest",22.5,0
"1075",4,"Northeast",28.5,1
"1117",8,"Northeast",22,1
"1361",3,"Northeast",15.5,0
"385",2,"Northwest",21,0
"1241",4,"Northeast",27.5,0
"337",3,"Northwest",19,0
"342",1,"Northwest",27.5,0
"467",1,"South",37,0
"1003",6,"Northeast",26.5,0
"428",4,"South",30,0
"429",2,"South",32.5,0
"640",3,"Southwest",16,0
"1007",3,"Northeast",25,0
"1048",1,"Northeast",37,0
"90",12,"Midwest",30,0
"725",4,"Southwest",17.5,0
"92",4,"Midwest",12.5,0
"266",4,"Northwest",29,0
"659",3,"Southwest",28.5,0
"531",4,"South",24.5,0
"56",1,"Midwest",38,0
"636",3,"Southwest",16,0
"1017",5,"Northeast",19,0
"99",1,"Midwest",34,0
"720",3,"Southwest",21.5,0
"402",4,"Northwest",19,0
"1372",2,"Northeast",34.5,0
"980",9,"Northeast",34.5,1
"1184",4,"Northeast",29.5,0
"1145",11,"Northeast",24.5,1
"1146",1,"Northeast",18.5,0
"1390",4,"Northeast",20,0
"108",0,"Midwest",34.5,0
"109",2,"Midwest",20.5,0
"1272",1,"Northeast",21.5,1
"813",3,"Southwest",24.5,0
"1031",5,"Northeast",15.5,1
"1032",1,"Northeast",43,1
"1033",5,"Northeast",37,1
"889",4,"Southwest",13.5,0
"220",2,"Midwest",16,0
"859",4,"Southwest",23,1
"1076",3,"Northeast",23.5,0
"1476",6,"Northeast",25,0
"555",1,"South",35,0
"1119",4,"Northeast",19.5,0
"1162",5,"Northeast",28,0
"446",4,"South",33.5,1
"232",4,"Northwest",32,0
"745",3,"Southwest",21,1
"828",6,"Southwest",18.5,0
"1410",3,"Northeast",31.5,1
"895",1,"Southwest",18.5,0
"1088",9,"Northeast",22,0
"751",5,"Southwest",24,0
"1171",3,"Northeast",24.5,0
"132",4,"Midwest",42.5,0
"135",4,"Midwest",23,0
"1417",2,"Northeast",26.5,0
"571",3,"South",13.5,0
"718",10,"Southwest",36,0
"1056",5,"Northeast",21.5,1
"947",4,"Northeast",32.5,0
"18",6,"Midwest",22.5,0
"19",4,"Midwest",25.5,0
"607",3,"Southwest",29,0
"1182",1,"Northeast",34.5,0
"1020",3,"Northeast",28.5,0
"368",4,"Northwest",30,0
"1307",2,"Northeast",29,0
"1429",2,"Northeast",16.5,1
"671",3,"Southwest",18.5,0
"503",5,"South",29,0
"149",5,"Midwest",35,0
"258",1,"Northwest",33.5,0
"111",3,"Midwest",26,0
"1313",4,"Northeast",22,0
"1072",5,"Northeast",20,0
"114",9,"Midwest",25,0
"510",5,"South",20.5,0
"304",1,"Northwest",38.5,0
"1116",1,"Northeast",32.5,1
"1198",8,"Northeast",24,1
"159",2,"Midwest",32,0
"1321",1,"Northeast",24.5,0
"713",5,"Southwest",20.5,0
"1121",3,"Northeast",15,1
"478",0,"South",40,0
"1083",1,"Northeast",41.5,0
"1084",8,"Northeast",26.5,0
"963",3,"Northeast",26.5,1
"1437",9,"Northeast",27,1
"401",2,"Northwest",18,0
"418",3,"South",15.5,0
"424",2,"South",24.5,0
"319",0,"Northwest",23,0
"1213",4,"Northeast",34.5,0
"1335",2,"Northeast",18,0
"686",3,"Southwest",31,0
"972",3,"Northeast",26.5,0
"798",4,"Southwest",16,1
"57",2,"Midwest",18.5,0
"717",1,"Southwest",17.5,0
"1098",4,"Northeast",33.5,0
"1342",2,"Northeast",29,0
"1343",0,"Northeast",35.5,0
"419",2,"South",18,1
"173",3,"Midwest",41,0
"144",1,"Midwest",35,0
"1225",5,"Northeast",24,1
"1469",5,"Northeast",23,0
"1106",2,"Northeast",27.5,0
"176",2,"Midwest",36.5,0
"1406",2,"Northeast",15,0
"1407",3,"Northeast",26,0
"1110",2,"Northeast",12.5,0
"242",5,"Northwest",23,0
"913",2,"Northeast",16,0
"154",4,"Midwest",25.5,0
"344",4,"Northwest",24,0
"1466",5,"Northeast",24,0
"1156",3,"Northeast",22,0
"77",3,"Midwest",31,0
"554",5,"South",29,0
"1473",0,"Northeast",30,0
"80",1,"Midwest",32,0
"1242",6,"Northeast",24.5,0
"879",5,"Southwest",25,0
"83",4,"Midwest",20,0
"1124",4,"Northeast",18.5,1
"416",2,"South",32,0
"1045",3,"Northeast",20.5,0
"168",5,"Midwest",31.5,1
"524",9,"South",24.5,0
"525",8,"South",28,0
"566",0,"South",44,0
"1374",1,"Northeast",34.5,0
"630",3,"Southwest",20.5,0
"1133",7,"Northeast",21.5,0
"54",4,"Midwest",23.5,0
"1378",1,"Northeast",29.5,0
"177",4,"Midwest",18,0
"1421",6,"Northeast",26.5,0
"256",2,"Northwest",27.5,0
"1261",3,"Northeast",19.5,0
"100",4,"Midwest",16,0
"1384",3,"Northeast",23,0
"722",6,"Southwest",21.5,0
"539",2,"South",25,0
"104",3,"Midwest",36.5,0
"657",3,"Southwest",21,1
"1470",4,"Northeast",33,1
"1268",2,"Northeast",32,0
"1147",3,"Northeast",14.5,0
"281",1,"Northwest",39.5,0
"546",0,"South",32.5,0
"921",2,"Northeast",33,0
"180",3,"Midwest",29.5,0
"612",3,"Southwest",39.5,0
"919",2,"Northeast",30.5,0
"1155",7,"Northeast",22,0
"1277",2,"Northeast",38.5,0
"208",0,"Midwest",27.5,0
"886",6,"Southwest",28.5,0
"363",3,"Northwest",25,0
"375",4,"Northwest",26,0
"320",2,"Northwest",25,0
"1283",0,"Northeast",18.5,0
"309",1,"Northwest",38.5,0
"448",3,"South",27.5,0
"4",5,"Midwest",22,0
"625",5,"Southwest",18.5,0
"1288",6,"Northeast",17.5,0
"316",4,"Northwest",20,1
"668",6,"Southwest",24.5,0
"130",5,"Midwest",33,0
"861",3,"Southwest",16.5,0
"277",5,"Northwest",17.5,0
"1173",4,"Northeast",31,0
"94",5,"Midwest",35,0
"648",2,"Southwest",29.5,0
"253",4,"Northwest",38.5,0
"367",2,"Northwest",21.5,1
"241",5,"Northwest",33,0
"841",2,"Southwest",23,0
"829",6,"Southwest",37.5,0
"577",4,"South",25.5,0
"143",2,"Midwest",13.5,0
"763",0,"Southwest",41,0
"683",3,"Southwest",27.5,0
"369",6,"Northwest",34.5,0
"582",5,"South",26.5,0
"26",1,"Midwest",38.5,0
"365",1,"Northwest",30.5,0
"190",4,"Midwest",26,0
"586",1,"South",40.5,0
"112",4,"Midwest",25.5,0
"31",4,"Midwest",42,0
"651",3,"Southwest",22.5,0
"776",1,"Southwest",30,0
"736",3,"Southwest",17,1
"216",0,"Midwest",26,0
"1440",7,"Northeast",22.5,0
"864",3,"Southwest",32,0
"1494",3,"Northeast",30,0
"391",6,"Northwest",22.5,0
"41",3,"Midwest",20,0
"598",4,"South",30,0
"814",1,"Southwest",19,0
"1204",6,"Northeast",26.5,0
"1205",7,"Northeast",24,1
"1085",7,"Northeast",21.5,0
"1207",1,"Northeast",17,0
"1208",3,"Northeast",14.5,0
"169",0,"Midwest",49,0
"498",2,"South",24.5,0
"880",6,"Southwest",20,0
"349",2,"Northwest",18.5,0
"1456",0,"Northeast",36.5,0
"756",3,"Southwest",16.5,0
"1215",6,"Northeast",38.5,0
"327",1,"Northwest",36,0
"138",3,"Midwest",19.5,0
"533",11,"South",36,0
"1341",3,"Northeast",31,0
"904",3,"Northeast",22.5,0
"496",5,"South",17.5,0
"803",2,"Southwest",13,0
"682",1,"Southwest",25.5,0
"851",6,"Southwest",33.5,0
"1493",3,"Northeast",31.5,1
"1481",3,"Northeast",29.5,0
"1227",2,"Northeast",22.5,0
"148",12,"Midwest",23.5,0
"1229",1,"Northeast",38.5,0
"545",2,"South",14,0
"730",7,"Southwest",26.5,0
"1111",7,"Northeast",25.5,0
"1436",2,"Northeast",37.5,0
"991",4,"Northeast",39.5,0
"694",2,"Southwest",14.5,0
"236",1,"Northwest",34,0
"552",2,"South",16,0
"872",8,"Southwest",30.5,0
"1482",5,"Northeast",26,0
"376",6,"Northwest",18.5,0
"516",4,"South",23.5,0
"701",6,"Southwest",16.5,0
"518",4,"South",22,0
"1000",1,"Northeast",27.5,0
"126",2,"Midwest",21,0
"447",3,"South",23,0
"522",5,"South",17.5,0
"315",3,"Northwest",27.5,0
"669",5,"Southwest",20.5,0
"1251",8,"Northeast",21.5,0
"1130",2,"Northeast",32.5,0
"279",5,"Northwest",24,0
"486",7,"South",23.5,1
"1475",1,"Northeast",33,0
"1255",4,"Northeast",20,0
"1256",4,"Northeast",27.5,1
"252",4,"Northwest",18.5,0
"573",2,"South",21.5,0
"1259",4,"Northeast",15.5,0
"181",3,"Midwest",24.5,0
"536",6,"South",30.5,0
"389",3,"Northwest",19.5,0
"184",2,"Midwest",16.5,0
"397",2,"Northwest",22.5,0
"836",5,"Southwest",29.5,0
"808",8,"Southwest",34,1
"1064",1,"Northeast",21,0
"203",4,"Midwest",22.5,0
"296",3,"Northwest",23.5,0
"585",4,"South",19.5,0
"1150",7,"Northeast",22,1
"299",4,"Northwest",27,0
"732",1,"Southwest",14,0
"1274",7,"Northeast",29,0
"735",5,"Southwest",16.5,1
"551",3,"South",19,0
"592",1,"South",29.5,0
"892",4,"Southwest",32.5,0
"404",7,"Northwest",17,0
"1488",4,"Northeast",34,0
"556",1,"South",37.5,0
"1200",7,"Northeast",22,0
"558",2,"South",28.5,0
"1285",0,"Northeast",19.5,0
"560",4,"South",37.5,0
"561",2,"South",31.5,0
"664",2,"Southwest",24,0
"790",3,"Southwest",23,0
"196",3,"Midwest",31.5,0
"1332",4,"Northeast",27,0
"318",6,"Northwest",21.5,0
"1292",5,"Northeast",16.5,1
"568",3,"South",28,0
"1468",5,"Northeast",24,0
"971",3,"Northeast",17.5,1
"1418",4,"Northeast",31.5,0
"945",0,"Northeast",26.5,0
"676",7,"Southwest",21.5,1
"1299",6,"Northeast",27.5,0
"1300",1,"Northeast",25,0
"1058",8,"Northeast",24.5,0
"1411",6,"Northeast",28,0
"1303",3,"Northeast",15.5,0
"579",3,"South",30,0
"1305",6,"Northeast",30.5,0
"1306",2,"Northeast",35.5,0
"1463",1,"Northeast",21,0
"672",3,"Southwest",18.5,0
"584",1,"South",41,0
"1310",4,"Northeast",32,0
"178",4,"Midwest",40,0
"587",8,"South",22.5,0
"1434",3,"Northeast",23,0
"1191",0,"Northeast",35.5,0
"734",2,"Southwest",17,0
"1425",2,"Northeast",30.5,0
"34",4,"Midwest",15.5,0
"1318",7,"Northeast",31,0
"1319",2,"Northeast",28,0
"1441",4,"Northeast",29,0
"1455",2,"Northeast",21,0
"712",3,"Southwest",22,0
"823",4,"Southwest",27,0
"1324",8,"Northeast",31,0
"744",5,"Southwest",24.5,0
"665",4,"Southwest",19.5,0
"341",3,"Northwest",12.5,0
"45",2,"Midwest",19,1
"749",5,"Southwest",20,0
"482",1,"South",20.5,0
"1331",4,"Northeast",35.5,0
"358",1,"Northwest",36.5,0
"50",6,"Midwest",32.5,0
"487",4,"South",20.5,0
"333",1,"Northwest",31.5,0
"268",0,"Northwest",15.5,0
"1337",3,"Northeast",15.5,0
"179",7,"Midwest",27.5,0
"16",3,"Midwest",31,0
"976",2,"Northeast",26,0
"1220",0,"Northeast",26.5,0
"920",9,"Northeast",21.5,0
"1222",3,"Northeast",37,0
"371",1,"Northwest",36.5,0
"411",2,"Northwest",29.5,0
"863",3,"Southwest",19.5,0
"188",5,"Midwest",36,0
"1348",3,"Northeast",25.5,0
"515",6,"South",19.5,0
"543",7,"South",21,0
"1351",6,"Northeast",28,0
"731",3,"Southwest",11.5,0
"153",1,"Midwest",33,0
"427",5,"South",17.5,1
"1355",9,"Northeast",22.5,0
"992",7,"Northeast",31.5,0
"695",7,"Southwest",19,0
"1358",2,"Northeast",27.5,0
"1359",1,"Northeast",40,0
"777",4,"Southwest",23,0
"891",4,"Southwest",29,0
"1471",3,"Northeast",22,0
"1363",2,"Northeast",31.5,0
"353",10,"Northwest",32,0
"166",0,"Midwest",27,0
"441",5,"South",26,0
"1246",6,"Northeast",20.5,0
"706",5,"Southwest",26.5,0
"417",5,"South",18,0
"87",6,"Midwest",25,0
"1250",2,"Northeast",15.5,0
"425",2,"South",47.5,0
"360",7,"Northwest",26.5,0
"834",4,"Southwest",27,0
"460",3,"South",23.5,0
"631",3,"Southwest",16,0
"1377",3,"Northeast",15.5,1
"240",3,"Northwest",26,0
"454",5,"South",35.5,0
"1340",3,"Northeast",38,0
"453",1,"South",44,0
"1139",1,"Northeast",27,0
"802",3,"Southwest",24,0
"101",5,"Midwest",22,0
"845",7,"Southwest",30,0
"1183",2,"Northeast",28.5,0
"1387",11,"Northeast",29.5,0
"541",2,"South",24,0
"1389",2,"Northeast",27.5,0
"837",3,"Southwest",16,0
"1270",7,"Northeast",19,1
"771",2,"Southwest",30.5,0
"284",5,"Northwest",22.5,0
"1394",5,"Northeast",25,1
"1395",0,"Northeast",38.5,0
"1275",6,"Northeast",24.5,0
"469",6,"South",25.5,1
"215",0,"Midwest",33,0
"1399",3,"Northeast",29.5,0
"117",3,"Midwest",27,0
"1158",1,"Northeast",28,0
"752",3,"Southwest",35,0
"1281",1,"Northeast",33,0
"1120",3,"Northeast",22,0
"1163",5,"Northeast",23.5,0
"1040",2,"Northeast",29.5,0
"125",2,"Midwest",15.5,0
"1044",1,"Northeast",25.5,0
"871",9,"Southwest",30,0
"708",3,"Southwest",34.5,0
"129",2,"Midwest",36.5,0
"444",6,"South",29,0
"1413",0,"Northeast",35,0
"567",4,"South",20,0
"1415",3,"Northeast",24,0
"1052",2,"Northeast",15.5,1
"754",2,"Southwest",40,1
"1054",2,"Northeast",24,0
"96",1,"Midwest",30,0
"1367",2,"Northeast",41,1
"1057",6,"Northeast",31,0
"760",3,"Southwest",27.5,0
"762",5,"Southwest",18.5,0
"456",4,"South",17.5,1
"1304",5,"Northeast",18.5,0
"642",1,"Southwest",25,0
"1427",6,"Northeast",24,0
"145",5,"Midwest",33.5,0
"393",2,"Northwest",14.5,0
"323",0,"Northwest",32.5,0
"1188",2,"Northeast",16.5,0
"1392",2,"Northeast",15,1
"300",3,"Northwest",24,0
"733",3,"Southwest",35,0
"1314",1,"Northeast",30.5,0
"1396",2,"Northeast",16.5,0
"590",3,"South",28.5,0
"1195",2,"Northeast",33,0
"410",3,"Northwest",23,0
"305",2,"Northwest",20.5,0
"1489",3,"Northeast",18.5,0
"355",5,"Northwest",25,0
"39",3,"Midwest",18.5,0
"878",2,"Southwest",22.5,0
"1405",4,"Northeast",22.5,0
"1203",2,"Northeast",27,0
"1327",0,"Northeast",31.5,0
"1287",8,"Northeast",21.5,0
"481",1,"South",27.5,0
"748",4,"Southwest",23.5,0
"170",2,"Midwest",31.5,0
"359",4,"Northwest",27.5,0
"791",11,"Southwest",38,0
"1211",3,"Northeast",10,1
"685",10,"Southwest",22,0
"52",1,"Midwest",25.5,0
"715",4,"Southwest",25.5,0
"1094",9,"Northeast",34,0
"1216",3,"Northeast",31.5,0
"1339",14,"Northeast",26.5,0
"1096",6,"Northeast",22.5,1
"494",1,"South",34.5,0
"219",6,"Midwest",31,0
"890",3,"Southwest",30,0
"497",0,"South",37,0
"405",1,"Northwest",31.5,0
"372",5,"Northwest",32.5,0
"1464",4,"Northeast",34,0
"147",5,"Midwest",35.5,0
"1349",4,"Northeast",22.5,0
"1350",0,"Northeast",32,1
"68",2,"Midwest",29,0
"151",1,"Midwest",35,0
"1232",1,"Northeast",31,0
"842",6,"Southwest",35.5,0
"1233",4,"Northeast",23,0
"1356",4,"Northeast",37,0
"1465",2,"Northeast",29,0
"227",5,"Northwest",22.5,0
"1472",0,"Northeast",28.5,0
"1477",9,"Northeast",29.5,0
"186",4,"Midwest",29.5,0
"162",5,"Midwest",32.5,0
"81",3,"Midwest",37.5,0
"1364",9,"Northeast",24,0
"1365",4,"Northeast",32.5,0
"853",4,"Southwest",26,0
"520",3,"South",27.5,0
"1125",2,"Northeast",26,1
"1369",7,"Northeast",25.5,0
"1370",2,"Northeast",27.5,0
"1128",4,"Northeast",20.5,1
"641",1,"Southwest",34,0
"910",1,"Northeast",43.5,0
"263",2,"Northwest",25.5,0
"322",4,"Northwest",22.5,0
"1458",1,"Northeast",16.5,0
"1134",3,"Northeast",29.5,0
"95",0,"Midwest",27.5,0
"97",3,"Midwest",11,0
"678",9,"Southwest",28,0
"534",2,"South",38,0
"856",2,"Southwest",30.5,0
"431",1,"South",37.5,0
"209",6,"Midwest",17.5,0
"1453",7,"Northeast",23.5,1
"723",6,"Southwest",27.5,1
"738",4,"Southwest",20,0
"807",1,"Southwest",23,0
"700",5,"Southwest",28,0
"1432",5,"Northeast",34,0
"1148",7,"Northeast",23.5,0
"1149",6,"Northeast",26.5,1
"661",5,"Southwest",26.5,0
"434",1,"South",37.5,0
"693",3,"Southwest",33.5,0
"247",1,"Northwest",33.5,0
"550",3,"South",19.5,0
"470",6,"South",41,0
"1495",3,"Northeast",20,1
"898",7,"Southwest",45,0
"1401",7,"Northeast",18,0
"119",2,"Midwest",26.5,0
"741",4,"Southwest",26.5,0
"121",4,"Midwest",19.5,0
"1284",4,"Northeast",22,0
"961",2,"Northeast",39,0
"479",4,"South",26.5,0
"1165",4,"Northeast",20.5,0
"1166",4,"Northeast",21,0
"1438",3,"Northeast",26,0
"451",1,"South",12,0
"565",8,"South",32,0
"290",2,"Northwest",32.5,0
"796",5,"Southwest",24.5,0
"1484",6,"Northeast",17.5,0
"1416",2,"Northeast",29,0
"529",8,"South",29,0
"1297",4,"Northeast",19,0
"1176",4,"Northeast",32,1
"1448",4,"Northeast",36.5,0
"493",1,"South",27.5,0
"1382",3,"Northeast",31.5,0
"329",5,"Northwest",35.5,0
"1059",3,"Northeast",17,1
"1412",5,"Northeast",23.5,1
"538",8,"South",31.5,0
"580",5,"South",24.5,0
"697",0,"Southwest",34,0
"1104",2,"Northeast",36,0
"306",1,"Northwest",29,0
"1391",4,"Northeast",22.5,0
"193",4,"Midwest",34.5,0
"110",4,"Midwest",30.5,0
"1461",8,"Northeast",23,0
"588",1,"South",21.5,0
"815",6,"Southwest",29.5,0
"857",4,"Southwest",14.5,0
"591",2,"South",26,0
"1500",2,"Northeast",44,0
"382",1,"Northwest",27.5,0
"202",3,"Midwest",24,0
"779",2,"Southwest",32,0
"1443",5,"Northeast",20,0
"191",3,"Midwest",15.5,0
"1160",5,"Northeast",23,0
"1325",5,"Northeast",15,1
"1408",0,"Northeast",32.5,0
"1368",0,"Northeast",25,0
"1449",1,"Northeast",31.5,0
"1478",7,"Northeast",21.5,0
"483",5,"South",22.5,1
"408",0,"Northwest",14,0
"392",3,"Northwest",31,0
"795",3,"Southwest",25.5,0
"793",0,"Southwest",16,0
"361",4,"Northwest",25.5,0
"716",6,"Southwest",36.5,0
"1419",2,"Northeast",23.5,0
"883",4,"Southwest",37,0
"1393",4,"Northeast",19,0
"1097",0,"Northeast",40.5,0
"638",1,"Southwest",12.5,0
"1099",8,"Northeast",24,0
"1221",7,"Northeast",19.5,1
"399",5,"Northwest",28,0
"1483",2,"Northeast",19,0
"213",8,"Midwest",22.5,0
"185",2,"Midwest",28.5,0
"146",3,"Midwest",32.5,0
"1430",2,"Northeast",36.5,0
"204",3,"Midwest",38,0
"1474",2,"Northeast",42.5,0
"150",4,"Midwest",32.5,0
"1231",9,"Northeast",22.5,0
"507",4,"South",20.5,0
"259",5,"Northwest",37.5,0
"1234",9,"Northeast",26.5,0
"1485",2,"Northeast",37,1
"655",3,"Southwest",20,0
"1237",0,"Northeast",40,1
"884",3,"Southwest",34.5,0
"221",5,"Midwest",18.5,0
"850",5,"Southwest",20,0
"175",3,"Midwest",25.5,0
"783",3,"Southwest",26.5,0
"223",7,"Midwest",24,0
"1244",4,"Northeast",21,0
"816",0,"Southwest",25,0
"521",2,"South",36.5,0
"46",4,"Midwest",25.5,0
"243",3,"Northwest",28.5,0
"1371",2,"Northeast",25.5,0
"89",4,"Midwest",31,0
"1490",5,"Northeast",26.5,0
"527",2,"South",41,1
"528",1,"South",36.5,0
"93",4,"Midwest",40,0
"1446",5,"Northeast",15.5,0
"1420",4,"Northeast",24,1
"532",7,"South",33,1
"974",1,"Northeast",32,0
"1381",7,"Northeast",29.5,0
"535",7,"South",21,0
"1140",2,"Northeast",25,0
"1467",4,"Northeast",15,0
"1491",5,"Northeast",41.5,0
"764",7,"Southwest",26.5,0
"199",4,"Midwest",30,0
"105",2,"Midwest",12,0
"542",4,"South",31,0
"366",0,"Northwest",14,0
"544",2,"South",36.5,0
"298",10,"Northwest",26.5,0
"1353",2,"Northeast",38.5,0
"690",0,"Southwest",34,0
"1450",7,"Northeast",29,0
"229",3,"Northwest",31.5,0
"1397",3,"Northeast",19,0
"1276",9,"Northeast",27.5,0
"1385",6,"Northeast",20,0
"1278",6,"Northeast",20.5,1
"1497",3,"Northeast",19,0
"387",3,"Northwest",19,0
"1402",3,"Northeast",32,1
"1282",4,"Northeast",21,0
"297",2,"Northwest",33.5,0
"703",5,"Southwest",20.5,1
"84",4,"Midwest",18,1
"352",5,"Northwest",38,0
"746",5,"Southwest",24.5,0
"195",3,"Midwest",23.5,0
"564",4,"South",22.5,0
"831",3,"Southwest",17,0
"211",5,"Midwest",30.5,1
"1451",2,"Northeast",27,1
"1414",6,"Northeast",30.5,0
"133",1,"Midwest",35,0
"1295",1,"Northeast",27,0
"254",6,"Northwest",36,0
"946",3,"Northeast",19.5,0
"1422",2,"Northeast",18,0
"610",7,"Southwest",27.5,1
"1423",3,"Northeast",30,0
"1301",3,"Northeast",27,0
"680",8,"Southwest",33.5,0
"400",6,"Northwest",25.5,1
"21",3,"Midwest",20.5,0
"1487",1,"Northeast",28.5,0
"1428",4,"Northeast",32,1
"727",5,"Southwest",26,1
"1309",3,"Northeast",13.5,0
"1066",3,"Northeast",21,0
"1462",3,"Northeast",13.5,0
"301",8,"Northwest",25.5,0
"207",6,"Midwest",23.5,0
"1435",4,"Northeast",31,0
"1192",4,"Northeast",29.5,1
"1480",2,"Northeast",34,0
"33",3,"Midwest",26,0
"303",0,"Northwest",31,0
"817",3,"Southwest",31,0
"1486",5,"Northeast",19,1
"595",7,"South",34,0
"867",3,"Southwest",41,1
"597",7,"South",28,0
"1366",2,"Northeast",18.5,1
"619",3,"Southwest",22.5,0
"826",4,"Southwest",17,0
"601",3,"South",29,0
"602",1,"South",39,0
